tokenizer,lang,tot_tokens,tok/word,tok/grapheme,tok/byte,tok/sentence
gpt2,eng,10031,1.201,0.227,0.227,10.03
gpt2,hin,67753,7.64,2.357,0.596,67.75
gpt2,kan,131293,20.277,4.125,0.982,131.29
gpt2,tam,163875,24.466,4.288,0.999,163.88
cl100k_base,eng,9933,1.189,0.225,0.225,9.93
cl100k_base,hin,44460,5.014,1.547,0.391,44.46
cl100k_base,kan,85802,13.251,2.696,0.642,85.8
cl100k_base,tam,81382,12.15,2.129,0.496,81.38
xlm-roberta-base,eng,10690,1.28,0.242,0.242,10.69
xlm-roberta-base,hin,12155,1.371,0.423,0.107,12.15
xlm-roberta-base,kan,13221,2.042,0.415,0.099,13.22
xlm-roberta-base,tam,14613,2.182,0.382,0.089,14.61
indic-bert-v2,eng,9602,1.15,0.217,0.217,9.6
indic-bert-v2,hin,10543,1.189,0.367,0.093,10.54
indic-bert-v2,kan,9653,1.491,0.303,0.072,9.65
indic-bert-v2,tam,10171,1.519,0.266,0.062,10.17
qwen2.5-7b,eng,9955,1.192,0.225,0.225,9.96
qwen2.5-7b,hin,40160,4.529,1.397,0.354,40.16
qwen2.5-7b,kan,68561,10.589,2.154,0.513,68.56
qwen2.5-7b,tam,65179,9.731,1.705,0.398,65.18
